Price,Sale price,Tail #,Gen,Turbo,Year,TTSN,TKS,AC,SVT,ESP,EVS,YD,Warranty mos,Useful load,Last update,Remarks,
318000,,N200HC,G3,TN,2009,1520,Y,N,Y,Y,Y,Y,0,1061,9/9/16,,
339900,,N342AC,G3,TN,2008,1359,Y,Y,Y,N,N,Y,0,NA,6/26/16,,
340000,,N200HC,G3,TN,2008,1513,Y,N,Y,N,Y,Y,0,1061,6/26/16,,
345000,,N310FL,G3,N,2009,1626,N,Y,Y,Y,N,N,0,1055,9/30/16,,
349000,,N411PK,G3,TN,2008,1270,Y,Y,Y,N,Y,Y,0,891,6/26/16,,
349900,,N367CP,G3,TN,2008,885,Y,N,Y,N,N,Y,0,931,6/26/16,,
375000,,N825HA,G3,TN,2009,1270,Y,Y,Y,N,N,Y,0,NA,6/26/16,,
375000,,N765CT,G3,TN,2008,731,Y,Y,Y,N,N,Y,0,NA,6/26/16,,
379000,,N131TJ,G3,TN,2009,1525,Y,N,Y,N,Y,Y,0,NA,6/26/16,,
389900,,N581SD,G3,TN,2008,453,Y,N,Y,N,N,Y,0,NA,6/26/16,,
399000,,N603CP,G3,TN,2009,800,Y,Y,Y,N,N,Y,0,885,6/26/16,,
401000,,N117G,G3,TN,2009,1170,Y,N,Y,N,N,N,0,NA,6/26/16,,
409000,,N93VG,G3,N,2009,1550,Y,N,Y,N,N,N,0,1049,6/26/16,,
414900,,N814LT,G3,N,2010,2240,Y,Y,Y,Y,Y,Y,0,971,8/8/16,,
419000,,N217GM,G3,TN,2010,355,N,Y,Y,Y,N,Y,0,885,7/26/16,,
419000,,N217CE,G3,N,2011,1353,Y,Y,Y,Y,Y,Y,15,NA,8/18/16,,
419900,,N422SN,G3,TN,2009,350,N,Y,Y,N,N,Y,0,953,6/26/16,,
425000,,N569SF,G3,N,2011,1025,Y,Y,Y,Y,N,Y,0,1040,6/26/16,,
435000,,N23BC,G3,N,2009,680,Y,Y,Y,N,Y,Y,0,974,6/30/16,,
439000,,N88WZ,G3,TN,2009,925,Y,Y,Y,Y,N,Y,0,888,6/26/16,,
439000,,N68GT,G3,TN,2009,707,Y,Y,Y,Y,Y,Y,0,896,6/26/16,,
439000,,N828VT,G3,TN,2009,801,Y,Y,Y,N ,Y,Y,0,912,6/26/16,,
449000,,N995TT,G3,N,2011,1050,Y,Y,Y,Y,N,N,0,1027,9/30/16,,
449900,,N708CT,G3,TN,2009,710,Y,Y,Y,Y,Y,Y,0,896,6/26/16,,
449900,,N256AW,G3,T,2009,551,Y,Y,Y,Y,Y,Y,0,NA,10/2/16,,
449900,,N531CC,G3,N,2010,402,Y,Y,Y,N,N,N,0,NA,10/5/16,,
455000,,N626BG,G3,T,2010,805,Y,Y,Y,Y,Y,Y,0,899,6/26/16,,
465000,,N65XM,G3,T,2010,950,Y,Y,Y,Y,N,Y,0,NA,6/26/16,,
475000,,N241GS,G3,T,2010,1358,Y,Y,Y,Y,N,Y,0,NA,6/26/16,,
479000,,N117AK,G3,T,2011,350,Y,N,Y,Y,Y,Y,0,966,8/29/16,,
479900,,N486JF,G3,N,2012,1070,Y,Y,Y,Y,Y,Y,8,1020,6/26/16,,
485000,,N891SF,G3,T,2011,950,Y,Y,Y,Y,Y,Y,6,900,6/26/16,,
489000,,N289CW,G3,T,2010,713,Y,Y,Y,Y,Y,Y,0,NA,6/26/16,,
489000,,N555CB,G3,N,2011,585,Y,Y,Y,Y,N,Y,0,NA,10/5/16,,
489900,,N973SD,G3,N,2011,675,Y,Y,Y,Y,Y,Y,0,1209,7/11/16,,
492500,,N355NE,G3,N,2012,250,N,Y,Y,N,N,Y,0,1065,8/8/16,,
495000,,N45WT,G3,N,2010,650,Y,Y,Y,Y,N,Y,0,977,6/26/16,,
495000,,N449WM,G3,N,2012,840,N,Y,Y,Y,Y,Y,12,1052,7/29/16,,
499000,,N323RB,G3,N,2012,750,Y,Y,Y,Y,Y,Y,18,NA,6/26/16,,
499900,,N807GK,G3,T,2012,930,Y,Y,Y,Y,Y,Y,12,912,9/7/16,,
505000,,N329GE,G3,T,2010,775,Y,Y,Y,Y,N,Y,0,NA,6/26/16,,
515000,,OK-VIK,G3,T,2011,1100,Y,Y,Y,Y,Y,Y,7,NA,7/7/16,,
515000,,N224KG,G3,T,2012,750,Y,Y,Y,Y,Y,Y,9,909,8/31/16,,
519000,,N148LC,G3,T,2010,352,Y,Y,Y,Y,N,Y,0,NA,6/26/16,,
524900,,N858TL,G3,T,2011,425,Y,Y,Y,Y,Y,Y,2,895,9/15/16,,
525000,,N92PK,G3,T,2011,475,Y,Y,Y,Y,Y,Y,6,895,6/26/16,,
529000,,N889W,G3,T,2011,369,Y,Y,Y,Y,Y,Y,0,903,6/26/16,,
539000,,N19BA,G3,T,2012,399,Y,Y,Y,Y,Y,Y,16,914,6/26/16,,
549900,,N949KM,G3,T,2012,250,Y,Y,Y,Y,Y,Y,0,924,6/26/16,,
550000,,N213CA,G5,N,2014,745,Y,N,Y,Y,Y,Y,11,1220,7/12/16,,
559000,,N712GB,G3,T,2012,431,Y,Y,Y,Y,Y,Y,12,NA,7/29/16,,
559900,,N877AG,G3,T,2012,725,Y,Y,Y,Y,Y,Y,15,911,6/26/16,,
574000,,N32AZ,G5,N,2013,548,Y,Y,Y,Y,Y,Y,0,1190,7/12/16,,
579000,,N165S,G3,T,2012,310,Y,Y,Y,Y,Y,Y,0,913,6/26/16,,
585000,555750,N339DT,G5,N,2015,215,N,Y,Y,Y,N,Y,13,1251,6/26/16,,0.95
585000,,N339DT,G5,N,2015,215,N,Y,Y,Y,Y,Y,12,1251,7/15/16,,0.00
599000,569050,N285SB,G5,N,2014,875,Y,Y,Y,Y,Y,Y,12,NA,6/26/16,,0.95
599900,569905,N415DG,G5,T,2013,900,Y,Y,Y,Y,Y,Y,1,1100,6/26/16,,0.95
609000,,N343NP,G5,N,2015,140,N,Y,Y,Y,N,Y,52,NA,8/25/16,,0.00
614900,,N473JS,G5,N,2014,680,Y,Y,Y,Y,Y,Y,15,1191,9/24/16,,0.00
615000,,N128CV,G5,N,2013,404,Y,Y,Y,Y,Y,Y,23,NA,7/29/16,,0.00
615000,,N372BC,G5,N,2014,205,N,N,Y,Y,Y,Y,32,1252,7/29/16,,0.00
625000,,N345SR,G5,N,2014,395,Y,Y,Y,Y,Y,Y,32,NA,7/15/16,,0.00
629000,597550,N372BC,G5,N,2014,205,N,N,Y,Y,Y,Y,0,NA,6/26/16,,0.95
629000,597550,N725KL,G3,T,2011,270,Y,Y,Y,Y,Y,Y,0,892,6/26/16,,0.95
630000,,N920BC,G5,N,2013,720,Y,Y,Y,Y,Y,Y,27,1186,7/11/16,,0.00
635000,603250,N618AL,G5,N,2014,400,Y,Y,Y,Y,Y,Y,33,1182,6/26/16,,0.95
639000,,N585GT,G5,N,2013,600,Y,Y,Y,Y,Y,Y,6,1187,9/5/16,,
639900,,N136KA,G5,T,2013,190,N,Y,Y,Y,Y,Y,4,1100,6/26/16,,
649000,,N610GB,G5,T,2013,750,Y,Y,Y,Y,Y,Y,18,NA,6/26/16,,
649000,,N553MC,G5,T,2013,197,Y,Y,Y,Y,Y,Y,3,NA,6/26/16,,
649000,,N458TC,G5,T,2013,440,Y,Y,Y,Y,Y,Y,3,1097,8/15/16,,
649900,,HL1168,G5,N,2013,250,Y,Y,Y,Y,Y,Y,0,1196,6/26/16,,
650000,,N702W,G5,T,2013,640,Y,Y,Y,Y,Y,Y,32,1104,9/7/16,,
665000,,N890MG,G5,T,2013,540,Y,Y,Y,Y,Y,Y,29,1091,6/26/16,,
665000,,N824XZ,G5,T,2013,325,Y,Y,Y,Y,Y,Y,0,NA,9/30/16,,
668000,,N113HS,G5,T,2013,275,Y,Y,Y,Y,Y,Y,0,1090,9/9/16,,
669000,,N60JH,G5,T,2013,510,Y,Y,Y,Y,Y,Y,24,1093,6/26/16,,
669900,,N338LL,G5,N,2015,280,Y,Y,Y,Y,Y,Y,44,1065,8/22/16,,
670000,,N654BJ,G5,N,2013,195,Y,Y,Y,Y,Y,Y,29,NA,6/26/16,,
675000,,N424G,G5,T,2013,660,Y,Y,Y,Y,Y,Y,24,1107,6/26/16,,
679900,,N848EM,G5,T,2013,250,Y,Y,Y,Y,Y,Y,2,1082,9/30/16,,
689000,,N273DT,G5,T,2013,357,Y,Y,Y,Y,N,Y,30,NA,6/26/16,,
695000,,N711QT,G5,N,2014,180,Y,Y,Y,Y,Y,Y,12,1194,6/26/16,,
699000,,N773GB,G5,T,2014,295,Y,Y,Y,Y,Y,Y,14,1077,6/26/16,,
699000,,N569SM,G5,T,2014,425,Y,Y,Y,Y,Y,Y,11,1080,9/16/16,,
699900,,N20PZ,G5,T,2014,480,Y,Y,Y,Y,Y,Y,35,1085,6/26/16,,
709000,,N731ME,G5,T,2014,310,Y,Y,Y,Y,Y,Y,12,1082,8/5/16,,
709000,,N616SG,G5,T,2014,495,Y,Y,Y,Y,Y,Y,31,1111,8/27/16,,
719000,,N339WS,G5,T,2014,1150,Y,Y,Y,Y,Y,Y ,8,1081,6/26/16,,
719900,,N184MC,G5,T,2014,200,Y,Y,Y,Y,Y,Y,18,1088,6/26/16,,
719900,,N458BT,G5,T,2014,200,Y,Y,Y,Y,Y,Y,5,1079,8/3/16,,
724900,,N774PL,G5,T,2015,295,Y,Y,Y,Y,Y,Y,9,1096,8/3/16,,
725000,,N122JK,G5,T,2013,395,Y,Y,Y,Y,Y,Y,0,1100,6/26/16,,
739000,,N58801,G5,T,2015,270,Y,Y,Y,Y,Y,Y,24,1093,7/29/16,,
749000,,N968JA,G5,T,2015,314,Y,Y,Y,Y,Y,Y,11,1085,8/23/16,,
759000,,N715WF,G5,T,2015,295,Y,Y,Y,Y,Y,Y,52,NA,6/26/16,,
805000,,OK-SMI,G5,T,2015,120,Y,Y,Y,Y,Y,Y,36,NA,7/7/16,,
