,AC,ESP,EVS,Gen,Last update,Price,Remarks,SVT,Sale price,TKS,TTSN,Tail #,Turbo,Unnamed: 17,Useful load,Warranty mos,YD,Year
0,,,,G3,4/15/19,294900.0,,,,,3300.0,N962SR,N,,,,,2007
1,,,,G3,4/15/19,305000.0,,,,,1250.0,N72ET,T,,,,,2007
2,,,,G3,4/15/19,314900.0,,,,,840.0,N224LZ,T,,,,,2007
3,,,,G3,4/15/19,349000.0,,,,,1270.0,N667SR,T,,,,,2007
4,,,,G3,4/15/19,385000.0,,,,,1500.0,N612CT,T,,,,,2008
5,,,,G3,4/15/19,399000.0,,,,,1846.0,N200HC,T,,,,,2008
6,,,,G3,4/15/19,385000.0,,,,,633.0,N581SD,T,,,,,2008
7,,,,G3,4/15/19,299900.0,,,,,2245.0,N611CT,T,,,,,2008
8,,,,G3,4/15/19,324900.0,,,,,1030.0,N1223A,T,,,,,2008
9,,,,G3,4/15/19,399000.0,,,,,989.2,,T,,,,,2008
10,,,,G3,4/15/19,399900.0,,,,,965.0,N224SL,T,,,,,2008
11,,,,G3,4/15/19,399900.0,,,,,985.0,N542PF,T,,,,,2008
12,,,,G3,4/15/19,389000.0,,,,,1150.0,N509CP,T,,,,,2008
13,,,,G3,4/15/19,327520.0,,,,,690.0,,N,,,,,2008
14,,,,G3,4/15/19,399000.0,,,,,1220.0,N21WE,N,,,,,2009
15,,,,G3,4/15/19,359000.0,,,,,1947.4,N763LS,T,,,,,2009
16,,,,G3,4/15/19,384900.0,,,,,1810.0,N709KM,T,,,,,2009
17,,,,G3,4/15/19,390000.0,,,,,1640.0,C-FDLB,T,,,,,2009
18,,,,G3,4/15/19,419000.0,,,,,895.0,N507MC,T,,,,,2009
19,,,,G3,4/15/19,449000.0,,,,,868.0,N554CB,N,,,,,2010
20,,,,G3,4/15/19,459900.0,,,,,480.0,N225GS,N,,,,,2010
21,,,,G3,4/15/19,379900.0,,,,,1770.0,N106TJ,T,,,,,2010
22,,,,G3,4/15/19,435000.0,,,,,1175.0,N65XM,T,,,,,2010
23,,,,G3,4/15/19,449000.0,,,,,1070.0,N329GE,T,,,,,2010
24,,,,G3,4/15/19,449900.0,,,,,860.0,N626BG,T,,,,,2010
25,,,,G3,4/15/19,369000.0,,,,,1635.0,N69ZA,T,,,,,2010
26,,,,G3,4/15/19,325000.0,,,,,1617.0,N22RU,T,,,,,2010
27,,,,G3,4/15/19,459900.0,,,,,630.0,N787DF,T,,,,,2011
28,,,,G3,4/15/19,469900.0,,,,,830.0,N826KE,T,,,,,2011
29,,,,G3,4/15/19,489900.0,,,,,335.0,N10UA,T,,,,,2011
30,,,,G3,4/15/19,384900.0,,,,,1670.0,N127VT,T,,,,,2011
31,,,,G3,4/15/19,462500.0,,,,,860.0,N251SB,T,,,,,2011
32,,,,G3,4/15/19,429900.0,,,,,897.0,N39EE,T,,,,,2011
33,,,,G3,4/15/19,479900.0,,,,,710.0,N72AD,T,,,,,2012
34,,,,G5,4/15/19,599000.0,,,,,1225.0,N928ES,N,,,,,2013
35,,,,G5,4/15/19,559900.0,,,,,850.0,N250JH,N,,,,,2013
36,,,,G5,4/15/19,559000.0,,,,,1690.0,N828ZZ,T,,,,,2013
37,,,,G5,4/15/19,575000.0,,,,,904.0,N715JK,T,,,,,2013
38,,,,G5,4/15/19,594900.0,,,,,652.1,N926JW,T,,,,,2013
39,,,,G5,4/15/19,559900.0,,,,,280.0,N213AR,T,,,,,2013
40,,,,G5,4/15/19,639000.0,,,,,495.0,N3434T,T,,,,,2013
41,,,,G5,4/15/19,569000.0,,,,,1330.0,N822MS,N,,,,,2014
